batch,condition,condition_role,method_tag,strength,pack,time_months,design_type,include_reason,product
B1,30C/65%RH (intermediate),intermediate,Intermediate,20 mg,Alu-Alu blister,0.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/65%RH (intermediate),intermediate,Intermediate,20 mg,Alu-Alu blister,3.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/65%RH (intermediate),intermediate,Intermediate,20 mg,Alu-Alu blister,6.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/65%RH (intermediate),intermediate,Intermediate,20 mg,Alu-Alu blister,9.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/65%RH (intermediate),intermediate,Intermediate,20 mg,Alu-Alu blister,12.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/65%RH (intermediate),intermediate,Intermediate,20 mg,Alu-Alu blister,18.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/65%RH (intermediate),intermediate,Intermediate,20 mg,Alu-Alu blister,24.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/65%RH (intermediate),intermediate,Intermediate,20 mg,Alu-Alu blister,36.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/65%RH (intermediate),intermediate,Intermediate,20 mg,HDPE bottle 100s,0.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/65%RH (intermediate),intermediate,Intermediate,20 mg,HDPE bottle 100s,3.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/65%RH (intermediate),intermediate,Intermediate,20 mg,HDPE bottle 100s,6.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/65%RH (intermediate),intermediate,Intermediate,20 mg,HDPE bottle 100s,9.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/65%RH (intermediate),intermediate,Intermediate,20 mg,HDPE bottle 100s,12.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/65%RH (intermediate),intermediate,Intermediate,20 mg,HDPE bottle 100s,18.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/65%RH (intermediate),intermediate,Intermediate,20 mg,HDPE bottle 100s,24.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/65%RH (intermediate),intermediate,Intermediate,20 mg,HDPE bottle 100s,36.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/65%RH (intermediate),intermediate,Intermediate,5 mg,Alu-Alu blister,0.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/65%RH (intermediate),intermediate,Intermediate,5 mg,Alu-Alu blister,3.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/65%RH (intermediate),intermediate,Intermediate,5 mg,Alu-Alu blister,6.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/65%RH (intermediate),intermediate,Intermediate,5 mg,Alu-Alu blister,9.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/65%RH (intermediate),intermediate,Intermediate,5 mg,Alu-Alu blister,12.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/65%RH (intermediate),intermediate,Intermediate,5 mg,Alu-Alu blister,18.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/65%RH (intermediate),intermediate,Intermediate,5 mg,Alu-Alu blister,24.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/65%RH (intermediate),intermediate,Intermediate,5 mg,Alu-Alu blister,36.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/65%RH (intermediate),intermediate,Intermediate,5 mg,HDPE bottle 100s,0.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/65%RH (intermediate),intermediate,Intermediate,5 mg,HDPE bottle 100s,3.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/65%RH (intermediate),intermediate,Intermediate,5 mg,HDPE bottle 100s,6.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/65%RH (intermediate),intermediate,Intermediate,5 mg,HDPE bottle 100s,9.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/65%RH (intermediate),intermediate,Intermediate,5 mg,HDPE bottle 100s,12.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/65%RH (intermediate),intermediate,Intermediate,5 mg,HDPE bottle 100s,18.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/65%RH (intermediate),intermediate,Intermediate,5 mg,HDPE bottle 100s,24.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/65%RH (intermediate),intermediate,Intermediate,5 mg,HDPE bottle 100s,36.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/75%RH (long-term zone IV),long-term,LT-Q1E,20 mg,Alu-Alu blister,0.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/75%RH (long-term zone IV),long-term,LT-Q1E,20 mg,Alu-Alu blister,3.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/75%RH (long-term zone IV),long-term,LT-Q1E,20 mg,Alu-Alu blister,6.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/75%RH (long-term zone IV),long-term,LT-Q1E,20 mg,Alu-Alu blister,9.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/75%RH (long-term zone IV),long-term,LT-Q1E,20 mg,Alu-Alu blister,12.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/75%RH (long-term zone IV),long-term,LT-Q1E,20 mg,Alu-Alu blister,18.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/75%RH (long-term zone IV),long-term,LT-Q1E,20 mg,Alu-Alu blister,24.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/75%RH (long-term zone IV),long-term,LT-Q1E,20 mg,Alu-Alu blister,36.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/75%RH (long-term zone IV),long-term,LT-Q1E,20 mg,HDPE bottle 100s,0.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/75%RH (long-term zone IV),long-term,LT-Q1E,20 mg,HDPE bottle 100s,3.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/75%RH (long-term zone IV),long-term,LT-Q1E,20 mg,HDPE bottle 100s,6.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/75%RH (long-term zone IV),long-term,LT-Q1E,20 mg,HDPE bottle 100s,9.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/75%RH (long-term zone IV),long-term,LT-Q1E,20 mg,HDPE bottle 100s,12.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/75%RH (long-term zone IV),long-term,LT-Q1E,20 mg,HDPE bottle 100s,18.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/75%RH (long-term zone IV),long-term,LT-Q1E,20 mg,HDPE bottle 100s,24.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/75%RH (long-term zone IV),long-term,LT-Q1E,20 mg,HDPE bottle 100s,36.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/75%RH (long-term zone IV),long-term,LT-Q1E,5 mg,Alu-Alu blister,0.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/75%RH (long-term zone IV),long-term,LT-Q1E,5 mg,Alu-Alu blister,3.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/75%RH (long-term zone IV),long-term,LT-Q1E,5 mg,Alu-Alu blister,6.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/75%RH (long-term zone IV),long-term,LT-Q1E,5 mg,Alu-Alu blister,9.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/75%RH (long-term zone IV),long-term,LT-Q1E,5 mg,Alu-Alu blister,12.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/75%RH (long-term zone IV),long-term,LT-Q1E,5 mg,Alu-Alu blister,18.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/75%RH (long-term zone IV),long-term,LT-Q1E,5 mg,Alu-Alu blister,24.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/75%RH (long-term zone IV),long-term,LT-Q1E,5 mg,Alu-Alu blister,36.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/75%RH (long-term zone IV),long-term,LT-Q1E,5 mg,HDPE bottle 100s,0.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/75%RH (long-term zone IV),long-term,LT-Q1E,5 mg,HDPE bottle 100s,3.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/75%RH (long-term zone IV),long-term,LT-Q1E,5 mg,HDPE bottle 100s,6.0,Bracketing,bracket,Demo Tablet XYZ
B1,30C/75%RH (long-term zone IV),long-term,LT-Q1E,5 mg,HDPE bottle 100s,9.0,Bracketing,bracket,Demo Tablet XYZ
