batch,time,attribute,response,condition
A,0,Assay,100.2,25C/60%RH
A,3,Assay,99.5,25C/60%RH
A,6,Assay,98.8,25C/60%RH
A,9,Assay,98.1,25C/60%RH
A,12,Assay,97.4,25C/60%RH
A,18,Assay,96.0,25C/60%RH
A,24,Assay,94.8,25C/60%RH
B,0,Assay,100.0,25C/60%RH
B,3,Assay,99.3,25C/60%RH
B,6,Assay,98.6,25C/60%RH
B,9,Assay,98.0,25C/60%RH
B,12,Assay,97.2,25C/60%RH
B,18,Assay,95.9,25C/60%RH
B,24,Assay,94.6,25C/60%RH
A,0,Impurity,0.05,25C/60%RH
A,3,Impurity,0.12,25C/60%RH
A,6,Impurity,0.20,25C/60%RH
A,9,Impurity,0.28,25C/60%RH
A,12,Impurity,0.35,25C/60%RH
A,18,Impurity,0.48,25C/60%RH
A,24,Impurity,0.62,25C/60%RH
B,0,Impurity,0.04,25C/60%RH
B,3,Impurity,0.11,25C/60%RH
B,6,Impurity,0.19,25C/60%RH
B,9,Impurity,0.26,25C/60%RH
B,12,Impurity,0.34,25C/60%RH
B,18,Impurity,0.46,25C/60%RH
B,24,Impurity,0.58,25C/60%RH
