batch,time,response,condition
A,0,100.02,25C/60%RH
A,3,99.29,25C/60%RH
A,6,98.72,25C/60%RH
A,9,98.07,25C/60%RH
A,12,97.26,25C/60%RH
A,18,95.97,25C/60%RH
A,24,94.73,25C/60%RH
B,0,99.98,25C/60%RH
B,3,99.34,25C/60%RH
B,6,98.64,25C/60%RH
B,9,98.06,25C/60%RH
B,12,97.40,25C/60%RH
B,18,96.04,25C/60%RH
B,24,94.78,25C/60%RH
C,0,100.02,25C/60%RH
C,3,99.30,25C/60%RH
C,6,98.70,25C/60%RH
C,9,97.97,25C/60%RH
C,12,97.40,25C/60%RH
C,18,96.04,25C/60%RH
C,24,94.71,25C/60%RH
A,0,99.5,40C/75%RH
A,1,98.0,40C/75%RH
A,3,95.5,40C/75%RH
A,6,91.0,40C/75%RH
B,0,99.2,40C/75%RH
B,1,97.7,40C/75%RH
B,3,95.2,40C/75%RH
B,6,90.7,40C/75%RH
A,0,99.8,30C/65%RH
A,3,98.5,30C/65%RH
A,6,97.0,30C/65%RH
A,12,94.2,30C/65%RH
